1958-01-01,"Belgium, France, Germany, Italy and Netherlands join the EU",eu
1973-01-01,"Denmark, Ireland and United Kingdom join the EU",eu
1981-01-01,"Greece joins the EU",eu
1986-01-01,"Portugal and Spain join the EU",eu
1995-01-01,"Austria, Finland and Sweden join the EU",eu
1995-03-26,"Belgium, France, Germany, Luxembourg, Netherlands, Portugal and Spain join the Schengen agreement",eu
1997-10-26,"Italy joins the Schengen agreement",eu
1999-01-01,"Austria, Belgium, Finland, France, Germany, Ireland, Italy, Luxembourg, Netherlands, Portugal and Spain join the Eurozone",eu
2000-01-01,"Greece joins the Schengen agreement and the Eurozone",eu
2001-03-25,"Denmark, Finland and Sweden join the Schengen agreement",eu
2004-01-01,"Estonia and Hungary join the EU",eu
2004-05-01,"Cyprus, Czech Republic, Latvia, Lithuania, Luxembourg, Malta, Poland, Slovakia and Slovenia join the EU",eu
2007-01-01,"Slovenia joins the Eurozone; Bulgaria and Romania join the EU",eu
2007-12-01,"Austria, Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, Slovakia and Slovenia join the Schengen agreement",eu
2008-01-01,"Cyprus and Malta join the Eurozone",eu
2009-01-01,"Slovakia joins the Eurozone",eu
2011-01-01,"Estonia joins the Eurozone",eu
2013-07-01,"Croatia joins the EU",eu
2014-01-01,"Latvia joins the Eurozone",eu
2015-01-01,"Lithuania joins the Eurozone",eu
2020-01-31,"United Kingdom exits the EU.",eu
2026-01-01,"Bulgaria joins the Eurozone",eu
